source_table_index,S. No.,Recognition Number,Company Name,Company Address,Name & Address of the Company,Location of recognized In-House R&D Units,Valid Upto
2,18.,TU/IV-RD/53,Electronics Corporation of India Ltd.,"ECIL Post, Hyderabad -500 062,(Telangana)","Electronics Corporation of India Ltd. ECIL Post, Hyderabad -500 062,(Telangana)","ECILPost,Hyderabad, (Telangana)",31.03.2027
4,27.,TU/IV-RD/104,Elico Ltd.,"B-90, APIE, Sanath Nagar, Hyderabad-500 018 (Telangana)","Elico Ltd.B-90, APIE, Sanath Nagar, Hyderabad-500 018 (Telangana)","B-90, APIE, Sanathnagar, Hyderabad (Telangana)",31.03.2027
9,64.,TU/IV-RD/315,Biological E Ltd.,"18/1 & 3, Azamabad Hyderabad-500 020 Telangana","Biological E Ltd. 18/1 & 3, Azamabad Hyderabad-500 020 Telangana","(i) Plot No.1, Phase - ll, SP Biotech Park, Kolthuru, Shameerpet, R. R. Dist., Telangana (ii) Labs 2, 4, 7,10 and 12, Phase-I, IKP Knowledge Park, Genome Valley,Turkapally, Hyderabad, Telangana (iii) Plot No.15A, Phase-l, State Biotechnology Incubation Centre,Alexandria Knowledge Park, Genome Valley, Turkapally (V),Hyderabad (iv) 7-4-114, Gaganpahad, Rajendra",31.03.2026
11,79.,TU/IV-RD/386,Bharat DynamicsLtd.,"Kanchanbagh, Hyderabad-500 058 Telangana","Bharat DynamicsLtd.Kanchanbagh, Hyderabad-500 058 Telangana","D&EDivision,Kanchanbagh, Hyderabad",31.03.2026
11,83.,TU/IV-RD/408,NMDC Ltd.,"10-3-311/A,KhanijBhavan,Castle Hills,MasabTank,Hyderabad-500028","NMDC Ltd. 10-3-311/A,KhanijBhavan,Castle Hills,MasabTank,Hyderabad-500028","Patancheru, Sangareddy District,Hyderabad (Telangana)",31.03.2028
16,120.,TU/IV-RD/750,HILLtd.,"Office NO. 1 & 2, L7 Floor, SLN Terminus, Survey no. 133, Near BotanicalGarden, Gachibowli, Hyderabad-500 032, Telangana","HILLtd.Office NO. 1 & 2, L7 Floor, SLN Terminus, Survey no. 133, Near BotanicalGarden, Gachibowli, Hyderabad-500 032, Telangana","7-2-1830/1, Behind FCI Godowns,Erragadda, Sanat Nagar, Hyderabad, Telangana",31.03.2027
24,186.,TU/IV-RD/1281,Sanzyme Pvt.,"Ltd. Plot 2nd Floor, Sattava Signature Tower, #8-2-472/1/A/B/SF-3, Road No.1, Banjara Hills Hyderabad – 500 034(Telangana)","Sanzyme Pvt. Ltd. Plot 2nd Floor, Sattava Signature Tower, #8-2-472/1/A/B/SF-3, Road No.1, Banjara Hills Hyderabad – 500 034(Telangana)","Plot No. 8, Sy. No. 542, Phase-II, Biotech Park, Genome Valley, Kolthur (V) Shameerpet (M), Medchal-MalkagririDistrict (Telangana)",31.03.2028
26,199.,TU/IV-RD/1369,LamcoIndustriesPvt.,"Ltd. B-39&B-40,IndustrialEstate, Sanathnagar, Hyderabad-500 018 (Telangana)","LamcoIndustriesPvt. Ltd. B-39&B-40,IndustrialEstate, Sanathnagar, Hyderabad-500 018 (Telangana)","B-39 & B-40, Industrial Estate,Sanathnagar, Hyderabad, (Telangana)",31.03.2027
31,246.,TU/IV-RD/1669,Neuland Laboratories Ltd.,"11th Floor (5th Level), Phoenix IVY Building, Plot No. 573A-III, Road No. 82, Jubilee Hills, Hyderabad-500033 (Telangana)","Neuland Laboratories Ltd. 11th Floor (5th Level), Phoenix IVY Building, Plot No. 573A-III, Road No. 82, Jubilee Hills, Hyderabad-500033 (Telangana)","(i)Survey No. 488G & 489A, BonthapallyVill.,VeerabhadraSwamy Temple Road, Gummadidal Mandal, Sangareddy Dist., (Telangana) (ii) Plot Nos. 92-94, 257-259, IDAPashmylaram,Isnapur,PatancheruMandal,SangareddyDist,",31.03.2028
32,247.,TU/IV-RD/1679,Divi's Laboratories Ltd.,"1-72/23 (P)/DIVIS/303,DiviTowers,Cyber Hills,Gachibowli,Hyderaba d,Telangana-500 032","Divi's Laboratories Ltd. 1-72/23 (P)/DIVIS/303,DiviTowers,Cyber Hills,Gachibowli,Hyderaba d,Telangana-500 032","(i) 7-2-B34, Industrial Estate,Sanathnagar, HyderabadUrban, Telangana (ii) Lingojigudem Village, Choutuppal Mandal, Yadadri Bhuvanagiri Dist., Telangana (iii) Chippada Vill.,AnnavaramPost, Bheemunipatnam Mandal,Vishakapatnam Dist. A.P.",31.03.2027
33,259.,TU/IV-RD/1728,Mikroflo Filters Pvt.,"Ltd.H. No. 16-11-511/D/399,ShalivahanaNagar, Moosarambagh, Hyderabad-500036,(Telangana)","Mikroflo Filters Pvt. Ltd.H. No. 16-11-511/D/399,ShalivahanaNagar, Moosarambagh, Hyderabad-500036,(Telangana)","Survey No. 599 & 600, Kondamadugu, Bibingar Mandal, Yadadri Bhongir Dist., (Telangana)",31.03.2028
34,267.,TU/IV-RD/1759,Premier Explosives Ltd.,"Premier House,#11, Ishaq Colony, (Near AOCCentre) Secunderabad - 500 015,Telangana","Premier Explosives Ltd. Premier House,#11, Ishaq Colony, (Near AOCCentre) Secunderabad - 500 015,Telangana","Peddakandukur Village, YadagiriguttaMandal, Yadadri Bhongir District, Telangana",31.03.2025
35,275.,TU/IV-RD/1811,Ganga Kaveri Seeds Pvt.,"Ltd. 1406, 14th floor, Babukhan Estate,Bashir Bagh, Hyderabad-500 001, Telangana.","Ganga Kaveri Seeds Pvt. Ltd. 1406, 14th floor, Babukhan Estate,Bashir Bagh, Hyderabad-500 001, Telangana.","Sunanda Farm, Kandlakoya village, Medchal Mandal & Disttrict, Telangana",31.03.2027
35,278.,TU/IV-RD/1840,SriKrishnaPharmaceuticals Ltd.,"C-4, Industrial Area, Uppal Hyderabad -500039, Telangana","SriKrishnaPharmaceuticals Ltd. C-4, Industrial Area, Uppal Hyderabad -500039, Telangana","C-4,IDA,UppalRoad, Hyderabad (Telangana)",31.03.2027
36,281.,TU/IV-RD/1853,Linkwell Telesystems(P) Ltd.,"1-11-252/1B,Behind Shopper’s Stop, Begumpet, Hyderabad - 500 016, (Telangana)","Linkwell Telesystems(P) Ltd. 1-11-252/1B,Behind Shopper’s Stop, Begumpet, Hyderabad - 500 016, (Telangana)","3rd & 4th Floors, 1-11-252/1B Behind Shopper’s Stop,Begumpet, Hyderabad (Telangana)",31.03.2028
37,291.,TU/IV-RD/1895,Hetero Drugs Ltd.,"7-2-A2, Hetero Corporate, Industrial Estate, Sanath Nagar, Hyderabad -500018, (Telangana)","Hetero Drugs Ltd. 7-2-A2, Hetero Corporate, Industrial Estate, Sanath Nagar, Hyderabad -500018, (Telangana)","B-80&81,APIE,Balanagar,Hyderabad, (Telangana)",31.03.2028
38,300.,TU/IV-RD/1946,SOMPhytopharma (India) Ltd.,"RADOSOM, Plot No. 154/A5, S.V. Co-operativeIndustrial Estate, IDA Bollaram.-502 325, Sangareddy Dist, (Telangana)","SOMPhytopharma (India) Ltd. RADOSOM, Plot No. 154/A5, S.V. Co-operativeIndustrial Estate, IDA Bollaram.-502 325, Sangareddy Dist, (Telangana)","RADOSOM, Plot No. 154/A5, SVCIE IDA, Bollaram, SangareddyDist. (Telangana)",31.03.2027
40,317.,TU/IV-RD/1993,BharatBio-tech International Ltd.,"Sy. No. 230, 231, & 235,GenomeValley,TurkapallyVillageShameerpet Mandal, Ranga Reddy Distt., Hyderabad-500078,(Telangana)","BharatBio-tech International Ltd. Sy. No. 230, 231, & 235,GenomeValley,TurkapallyVillageShameerpet Mandal, Ranga Reddy Distt., Hyderabad-500078,(Telangana)","Sy. No. 230, 231, & 235,Genome Valley, Turkapally Village,Shameerpet Mandal, Ranga Reddy Distt.,Hyderabad, (Telangana)",31.03.2028
41,323.,TU/IV-RD/2033,Fortune Bio-Tech Ltd.,"Plot No. B-6, CIE,Balanagar,Distt.-Medchal- Malkajgiri - 500 037, (Telangana)","Fortune Bio-Tech Ltd.Plot No. B-6, CIE,Balanagar,Distt.-Medchal- Malkajgiri - 500 037, (Telangana)","(i) 803, 804 & 806, Raigiri Village, Bhongir Mandal, YadadriBhuvangagiri District (Telangana) (ii) Plot No. B-6, CIE,Balanagar, Distt.- Medchal-Malkajgiri (Telangana)",31.03.2028
41,325.,TU/IV-RD/2043,Zen Technologies Ltd.,"B-42, Indl. Estate, Sanath Nagar, Hyderabad 500018, Telangana","Zen Technologies Ltd. B-42, Indl. Estate, Sanath Nagar, Hyderabad 500018, Telangana","(i)B-42, Indl. Estate, Sanath Nagar,Hyderabad, Telangana(ii) Door No. 2-91/77/2/ST/11&12,Kothaguda, Kondapur, Serilingampally,R.R.District,Hyderabad, Telangana",31.03.2026
43,337.,TU/IV-RD/2094,NACLIndustriesLtd.,"Plot No 12-A, C-Block, Lakshmi Towers, No. 8-2-248/1/7/78,Nagarjuna Hills,Punjagutta, Hyderabad-500082, (Telangana)","NACLIndustriesLtd. Plot No 12-A, C-Block, Lakshmi Towers, No. 8-2-248/1/7/78,Nagarjuna Hills,Punjagutta, Hyderabad-500082, (Telangana)","Plot No. 177, Arinama Akkivalasa, Allinagaram, District Srikakulam (AP)Survey No 1710 and 1711,Anthireddyguda Road, Village & Mandal: Nandigaon, District RangaReddy (Telangana)",31.03.2028
43,341.,TU/IV-RD/2110,Aurobindo Pharma Ltd.,"Floor No. 22, Galaxy Building, Plot No. 1, Survey No. 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Ranga Reddy District, Hyderabad-500 032(Telangana)","Aurobindo Pharma Ltd. Floor No. 22, Galaxy Building, Plot No. 1, Survey No. 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Ranga Reddy District, Hyderabad-500 032(Telangana)","APL Research Centre, Survey No. 313, Village Bachupally, Bachupally Mandal, Medchal Malkajgiri District (Telangana) (ii) APL Research Centre, Survey No. 71 & 72 Indrakaran Village, Kandi Mandal, Sanga Reddy District(Telangana)",31.03.2028
44,346.,TU/IV-RD/2127,Alkali Metals Ltd.,", F-5, Prembagh Apartments, 3-4-490/A, Barkatpura, Hyderabad -500 027,(Telangana)","Alkali Metals Ltd., F-5, Prembagh Apartments, 3-4-490/A, Barkatpura, Hyderabad -500 027,(Telangana)","Plot No. B-5, Block-III, IDA, Uppal,Hyderabad, (Telangana)",31.03.2028
44,347.,TU/IV-RD/2128,Gland Pharma Ltd.,"Survey No. 143, 148, 150 & 151, D.P. Palli, DundigalPost, Quthbullapur Mandal, R.RDist., Hyderabad – 500 043, (Telangana)","Gland Pharma Ltd. Survey No. 143, 148, 150 & 151, D.P. Palli, DundigalPost, Quthbullapur Mandal, R.RDist., Hyderabad – 500 043, (Telangana)","Survey No.143 to 148, 150 & 151, D.P. Palli, Dundigal Post, Quthbullapur Mandal, Ranga Reddy Distt., Hyderabad,State-(Telangana)",31.03.2028
45,354.,TU/IV-RD/2146,Prathista Industries Ltd.,"Sy.No.273,274,S.Lingotam(Village)Choutuppal(Mandal),YadadriBhongir-508252 (Telangana)","Prathista Industries Ltd.Sy.No.273,274,S.Lingotam(Village)Choutuppal(Mandal),YadadriBhongir-508252 (Telangana)","SurveyNo.273,274, Village:S.Lingotam, Choutuppal (Mandal),YadadriBhongir (Telangana)",31.03.2027
46,362.,TU/IV-RD/2162,Nuziveedu Seeds Ltd.,"SurveyNo.69, Kandlakoya,Medchal Mandal, Gundlapochampally Village, Medchal Madal, Medchal&Malkajgiri District–500100, (Telangana)","Nuziveedu Seeds Ltd. SurveyNo.69, Kandlakoya,Medchal Mandal, Gundlapochampally Village, Medchal Madal, Medchal&Malkajgiri District–500100, (Telangana)","Research Farms at Dabilpur and Yellampet, Medchal Mandal, Medchal & Malkajgiri District (Telangana)Conventional & Biotechnology Lab, Survey No.69,Kandlakoya, Medchal Mandal, Gundlapochampally (Village),Medchal& MalkajgiriDistrict (Telangana) (iii) Gut No. 107, Jalgaon Road, H.P. SawangiTal/Dist. Aurangabad, (Maharashtra)(iv) Survey No. 48, 50 & 51, Muneerabad (Village & Grampanchayat), Puduru (Post), Medchal (Mandal), Medchal & MalkajgiriDistrict, (Telangana)",31.03.2028
48,371.,TU/IV-RD/2186,Lee Pharma Ltd.,"Sy. No. 257 & 258/1, Door No.11-6/56,C-Block, Opp. IDPL Factory, Moosapet Vill., Balanagar Post, Hyderabad - 500 037, Telangana","Lee Pharma Ltd. Sy. No. 257 & 258/1, Door No.11-6/56,C-Block, Opp. IDPL Factory, Moosapet Vill., Balanagar Post, Hyderabad - 500 037, Telangana","(i) Survey No.10/G-1, Gaddapotharam (Vill.), Jinnaram (Mandal), Medak District, Telangana(ii) Plot No –V, Phase –II, Visakapatnam Special Economic Zone (VSEZ), Duvvada, Visakhapatnam,Andhra Pradesh",31.03.2026
48,374.,TU/IV-RD/2195,Radiant Corporation Pvt.,"Ltd. B-1, Industrial Estate, Sanathnagar, Hyderabad- 500 018,(Telangana)","Radiant Corporation Pvt. Ltd. B-1, Industrial Estate, Sanathnagar, Hyderabad- 500 018,(Telangana)","Plot No. 19/B, TSIIC,AutomotivePark, Muppireddypally (Village), Manaoharabad Mandal,Medak District (Telangana)",31.03.2028
49,377.,TU/IV-RD/2201,Kaveri Seed Company Ltd.,"#513-B, 5thFloor, Minerva Complex,S.D.Road,Secunderabad - 500 003, (Telangana)","Kaveri Seed Company Ltd.#513-B, 5thFloor, Minerva Complex,S.D.Road,Secunderabad - 500 003, (Telangana)","Sy. No. 703 Part, 707 Part,712 Part, 713 to 719,PamulaparthyVillage, Markook Mandal, Siddipet Dist., (Telangana)",31.03.2028
